epoch;acc;loss
0;0.8290505226480837;0.35581262475885583
1;0.9517547046428831;0.15710876496663137
2;0.9551696577781007;0.1438785967297491
3;0.9573494150984524;0.1371495918528654
4;0.9586209402019908;0.13254811696728908
5;0.9597834774395118;0.12868683526827973
6;0.9589115745113711;0.1312907169252463
7;0.9584756230473007;0.13245018619795243
8;0.9582939766039381;0.1379176956993039
9;0.9577127079851776;0.1372275753755374
10;0.9558235849742062;0.13961224128144156
11;0.9569497929230546;0.14370540135320078
12;0.9540797791179249;0.14436743398751403
13;0.9539707912475764;0.1446836320167049
14;0.9536801569425271;0.14439722932948237
15;0.9557872556855337;0.1554406569036518
16;0.9565501707476568;0.14611363590948112
17;0.9543704134229744;0.15403119686533265
18;0.9558235849742062;0.14706640778270347
19;0.9566591586136743;0.1428748035889647
